Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,500,61900.0,58300.0,61800.0,62200.0,63600.0,62200.0,62100.0,62200.0,58400.0,65200.0,62400.0,62100.0,61900.0,62400.0,62200.0,106500.0,63400.0,61800.0,76300.0,62000.0,64945.0
Insertion Sort,500,400.0,400.0,400.0,400.0,300.0,500.0,400.0,400.0,300.0,400.0,600.0,400.0,400.0,400.0,300.0,300.0,400.0,300.0,400.0,400.0,390.0
Selection Sort,500,288100.0,288400.0,288100.0,288200.0,292100.0,288000.0,318400.0,288200.0,289500.0,296600.0,293200.0,288200.0,288500.0,288100.0,289000.0,288000.0,288700.0,346100.0,303100.0,288100.0,294330.0
Merge Sort,500,31500.0,31200.0,31400.0,31000.0,32100.0,32100.0,31200.0,32300.0,31200.0,32500.0,53100.0,31200.0,31400.0,30700.0,30200.0,31100.0,39000.0,37300.0,31900.0,31100.0,33175.0
Quick Sort,500,35500.0,33100.0,34700.0,34500.0,35600.0,35700.0,33700.0,37900.0,36100.0,34700.0,50400.0,35400.0,35200.0,31700.0,31600.0,32800.0,33600.0,38200.0,32200.0,33300.0,35295.0
