Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,500,626100.0,580800.0,616400.0,618100.0,620600.0,696600.0,649700.0,615600.0,647600.0,653200.0,688200.0,621100.0,616600.0,765000.0,620200.0,685700.0,622900.0,745200.0,897500.0,620500.0,660380.0
Insertion Sort,500,41000.0,40800.0,40700.0,40700.0,40700.0,56200.0,45000.0,40800.0,41400.0,42700.0,62400.0,40900.0,40700.0,41100.0,40600.0,41700.0,40800.0,40900.0,45200.0,40900.0,43260.0
Selection Sort,500,300100.0,287400.0,302200.0,301000.0,298800.0,448800.0,323200.0,301500.0,304500.0,304400.0,308900.0,304900.0,298200.0,299000.0,298900.0,298700.0,299100.0,362900.0,354900.0,306000.0,315170.0
Merge Sort,500,33700.0,33800.0,33300.0,33700.0,33300.0,32900.0,32800.0,34200.0,33500.0,34300.0,55400.0,32900.0,33200.0,32400.0,32400.0,33200.0,33400.0,39900.0,34400.0,33300.0,34800.0
Quick Sort,500,35200.0,32100.0,34200.0,34100.0,35500.0,34400.0,33100.0,35500.0,35200.0,33900.0,51200.0,34700.0,36700.0,31300.0,31100.0,31700.0,32600.0,37800.0,30800.0,32600.0,34685.0
