Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,500,359100.0,359700.0,356400.0,344600.0,358000.0,502100.0,343700.0,344900.0,383400.0,391700.0,349000.0,339100.0,360300.0,352600.0,492900.0,352600.0,366100.0,361000.0,539200.0,362200.0,380930.0
Insertion Sort,500,21800.0,21700.0,24000.0,21000.0,20900.0,27400.0,25800.0,21200.0,21400.0,26200.0,26000.0,20800.0,21600.0,21400.0,21700.0,22100.0,29900.0,21800.0,27000.0,21800.0,23275.0
Selection Sort,500,299200.0,295000.0,299500.0,297200.0,298100.0,390700.0,330600.0,299300.0,299800.0,310000.0,297400.0,297700.0,299500.0,301200.0,300500.0,469900.0,298600.0,327400.0,329000.0,299200.0,316990.0
Merge Sort,500,47500.0,46800.0,46200.0,47400.0,49000.0,47000.0,45800.0,50800.0,52600.0,55200.0,73800.0,51500.0,47900.0,46000.0,46400.0,52700.0,52400.0,73600.0,55100.0,61600.0,52465.0
Quick Sort,500,55200.0,65400.0,55600.0,55600.0,58000.0,55100.0,51400.0,75300.0,54700.0,56000.0,76200.0,58100.0,54400.0,62200.0,57700.0,55400.0,55600.0,69400.0,66300.0,56200.0,59690.0
