Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,1000,232400.0,245900.0,243400.0,276200.0,243000.0,245100.0,235700.0,238300.0,232500.0,319000.0,243400.0,243200.0,242900.0,243600.0,387800.0,254800.0,243200.0,318100.0,243300.0,247200.0,258950.0
Insertion Sort,1000,600.0,700.0,600.0,1000.0,600.0,700.0,700.0,600.0,700.0,1000.0,600.0,700.0,700.0,600.0,700.0,600.0,600.0,600.0,600.0,700.0,680.0
Selection Sort,1000,1201400.0,1292000.0,1205100.0,1212200.0,1577100.0,1138800.0,1264500.0,1189300.0,1209500.0,1179100.0,1223600.0,1194000.0,1334300.0,1192500.0,1254900.0,1173000.0,1332900.0,1190700.0,1534200.0,1172900.0,1253600.0
Merge Sort,1000,58500.0,61200.0,61800.0,62100.0,60500.0,59400.0,58300.0,61000.0,60000.0,62100.0,58600.0,61500.0,61500.0,155400.0,90800.0,106800.0,61600.0,61600.0,57800.0,106200.0,71335.0
Quick Sort,1000,61600.0,64100.0,64300.0,66700.0,65700.0,61700.0,64000.0,65000.0,62900.0,66700.0,62400.0,64400.0,66900.0,65100.0,63900.0,65900.0,63200.0,63400.0,58800.0,63700.0,64020.0
