Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,1000,2448100.0,2585000.0,2352500.0,2743200.0,2699100.0,3404500.0,3229700.0,2947000.0,2441000.0,2561100.0,2403900.0,2639100.0,2499100.0,2837700.0,2498000.0,2833300.0,2648700.0,2521900.0,2815000.0,2479500.0,2679370.0
Insertion Sort,1000,149500.0,141700.0,140900.0,151200.0,141100.0,147100.0,151600.0,152200.0,151000.0,151300.0,144500.0,232800.0,150800.0,151500.0,151100.0,151300.0,151400.0,151100.0,151700.0,151300.0,153255.0
Selection Sort,1000,1300900.0,1212300.0,1235500.0,1214200.0,1204500.0,1172300.0,1190800.0,1366200.0,1212400.0,1296200.0,1173300.0,1215000.0,1335600.0,1215200.0,1330500.0,1265400.0,1248100.0,1229900.0,1168400.0,1214900.0,1240080.0
Merge Sort,1000,62600.0,64900.0,64900.0,64800.0,63400.0,62100.0,62200.0,64500.0,63300.0,65200.0,62200.0,64900.0,64600.0,65800.0,72300.0,65900.0,65300.0,64500.0,61400.0,65400.0,64510.0
Quick Sort,1000,59200.0,62000.0,62600.0,64100.0,62400.0,236200.0,61000.0,64200.0,61900.0,63800.0,59800.0,62800.0,63500.0,68900.0,62200.0,64000.0,62900.0,62400.0,58200.0,62000.0,71205.0
