Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,1000,1404000.0,1413000.0,1485200.0,1637300.0,1786600.0,1307000.0,1499500.0,1379300.0,1384400.0,1398600.0,1374200.0,1376800.0,1507400.0,1635700.0,1460300.0,1382500.0,1847400.0,1396200.0,1389000.0,1404500.0,1473445.0
Insertion Sort,1000,67400.0,68200.0,67400.0,72000.0,69700.0,67900.0,72800.0,74000.0,73200.0,72300.0,70700.0,70100.0,73800.0,74000.0,70600.0,71400.0,73100.0,73700.0,76800.0,71500.0,71530.0
Selection Sort,1000,1190300.0,1195900.0,1117300.0,1372000.0,1130500.0,1161800.0,1696100.0,1247500.0,1569600.0,1211900.0,1283300.0,1207800.0,1211000.0,1202000.0,1398600.0,1200900.0,1661800.0,1213400.0,1429500.0,1206400.0,1295380.0
Merge Sort,1000,97700.0,219500.0,99300.0,98300.0,97900.0,97200.0,95400.0,97000.0,98000.0,101400.0,97600.0,100300.0,97800.0,99900.0,98300.0,127600.0,99600.0,98700.0,91900.0,99900.0,105665.0
Quick Sort,1000,106100.0,114300.0,112200.0,113600.0,108300.0,108000.0,118000.0,122300.0,110700.0,196500.0,125300.0,136900.0,128600.0,128600.0,123600.0,108600.0,112400.0,109600.0,99300.0,109700.0,119630.0
