Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,5000,30.1141,29.1661,29.2352,27.7102,27.7222,27.6227,28.7727,31.2593,28.3384,28.5406,29.1017,27.9344,27.2582,27.3529,26.7795,27.8037,28.9657,27.8605,30.4392,28.7661,28.5372
Insertion Sort,5000,7.2147,7.5397,7.3661,6.7188,8.5059,6.9920,8.0330,6.7680,7.6196,6.9720,8.5132,6.3737,7.2824,8.3192,7.0325,6.9905,7.1792,8.1744,7.6675,6.8312,7.4047
Selection Sort,5000,14.8574,15.8091,15.0307,14.7463,14.7040,13.8397,13.8021,13.7280,13.5695,13.5482,14.3492,13.9323,13.5230,14.2800,14.3332,13.5860,13.1036,13.8483,14.3376,13.7442,14.1336
Merge Sort,5000,0.8641,0.7146,0.7453,0.6927,0.6578,0.6768,0.9296,0.6601,0.6332,0.6320,0.6757,0.6304,0.8059,0.6772,1.1330,0.6604,0.6707,0.6649,0.6669,0.6733,0.7232
Quick Sort,5000,0.7893,0.7262,0.8506,0.7162,0.7114,0.6967,0.8761,0.6642,0.6713,0.7445,0.7128,0.6857,0.6987,0.8236,0.7226,0.6748,0.7490,0.7033,0.7124,0.7163,0.7323
