Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,5000,30.8710,30.7485,31.1226,30.9442,30.8788,30.6203,29.4279,29.6095,28.8570,28.3631,29.0202,28.7260,29.7719,29.9385,30.0404,31.6839,28.9177,29.0550,33.4677,32.3844,30.2224
Insertion Sort,5000,15.3721,15.1714,14.1543,14.0188,14.3659,14.0763,12.9511,15.4575,14.5845,13.2955,13.8438,12.9624,13.0442,13.6645,16.0059,14.2409,13.7665,13.8516,14.0314,14.6139,14.1736
Selection Sort,5000,14.0327,14.7011,14.2221,15.6414,13.8705,13.4999,13.7113,14.7488,13.1966,14.3416,13.6814,12.9675,13.3576,13.6926,13.8375,13.5626,12.9816,15.6394,14.1352,13.7644,13.9793
Merge Sort,5000,0.4731,0.4109,0.4748,0.4108,0.3930,0.4038,0.4382,0.3809,0.3773,0.3976,0.3946,0.3857,0.5212,0.3864,0.3835,0.3877,0.4336,0.4046,0.4051,0.4046,0.4134
Quick Sort,5000,0.5539,0.3908,0.3853,0.4311,0.3716,0.3677,0.4231,0.3588,0.3773,0.4260,0.3651,0.3876,0.3618,0.3782,0.3617,0.3563,0.3578,0.3787,0.3822,0.3788,0.3897
