Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,5000,15.4671,15.2088,15.0618,15.1404,15.0758,15.1968,14.9203,15.0237,15.4260,14.4544,14.8688,14.8622,15.4508,15.4671,14.7318,15.2481,14.7223,15.4156,15.1549,15.2735,15.1085
Insertion Sort,5000,0.0070,0.0076,0.0074,0.0073,0.0074,0.0068,0.0071,0.0070,0.0068,0.0081,0.0073,0.0067,0.0068,0.0075,0.0071,0.0070,0.0070,0.0079,0.0073,0.0087,0.0073
Selection Sort,5000,13.6030,14.1566,13.9361,13.6807,13.6815,13.1343,13.3747,13.5945,13.7180,13.6125,13.6993,13.3400,13.2217,12.6172,13.1411,13.5027,13.1620,13.3133,13.5549,14.0794,13.5062
Merge Sort,5000,0.4018,0.3749,0.4173,0.3823,0.3634,0.3792,0.4059,0.3653,0.3623,0.3849,0.3628,0.3503,0.4582,0.3782,0.3699,0.3567,0.5120,0.4136,0.3727,0.3734,0.3893
Quick Sort,5000,0.4136,0.3919,0.3823,0.3984,0.3772,0.3604,0.3737,0.3656,0.3800,0.3826,0.3634,0.3682,0.3774,0.3771,0.3689,0.3579,0.3613,0.4242,0.3780,0.3769,0.3790
