Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,100,2900.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2700.0,2700.0,2800.0,3800.0,3600.0,3400.0,3300.0,3400.0,3300.0,3300.0,3400.0,3400.0,3300.0,3105.0
Insertion Sort,100,100.0,100.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,200.0,100.0,110.0
Selection Sort,100,10700.0,9600.0,9500.0,9500.0,9500.0,9500.0,9400.0,9500.0,9500.0,9500.0,12200.0,12100.0,11300.0,11400.0,11400.0,67300.0,11200.0,11100.0,11100.0,11100.0,13320.0
Merge Sort,100,6900.0,7000.0,6500.0,6400.0,6500.0,6500.0,11600.0,6400.0,6500.0,8200.0,9000.0,8300.0,7700.0,7700.0,7500.0,7700.0,7900.0,7600.0,7500.0,8000.0,7570.0
Quick Sort,100,9400.0,8200.0,7800.0,8000.0,8100.0,6800.0,7400.0,7500.0,7500.0,10000.0,11600.0,9900.0,9400.0,8700.0,8600.0,9000.0,9900.0,9600.0,9200.0,10600.0,8860.0
