Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,100,24200.0,24000.0,24100.0,24000.0,24000.0,24100.0,24100.0,24100.0,24100.0,24200.0,30500.0,30500.0,28700.0,28800.0,28800.0,28800.0,31500.0,28200.0,31000.0,27900.0,26780.0
Insertion Sort,100,2600.0,2600.0,2500.0,2500.0,2400.0,2500.0,2500.0,2400.0,2500.0,2500.0,3300.0,3100.0,3000.0,2900.0,3000.0,3000.0,2900.0,2900.0,3100.0,2800.0,2750.0
Selection Sort,100,10400.0,10400.0,10600.0,10600.0,10500.0,10600.0,10500.0,10500.0,10600.0,10600.0,13500.0,13600.0,12800.0,12800.0,12700.0,12700.0,12300.0,12400.0,12100.0,12300.0,11625.0
Merge Sort,100,7500.0,7300.0,7300.0,7100.0,7100.0,6900.0,6900.0,6800.0,6800.0,8800.0,9800.0,9400.0,8400.0,8500.0,8200.0,8400.0,8400.0,8100.0,8100.0,8300.0,7905.0
Quick Sort,100,8800.0,7700.0,7600.0,8000.0,7800.0,6800.0,7400.0,7400.0,7400.0,9800.0,10500.0,9400.0,9000.0,8600.0,8500.0,8700.0,9200.0,31400.0,8900.0,9600.0,9625.0
