Algorithm ,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,100,16200.0,17300.0,17000.0,19200.0,16000.0,17500.0,18500.0,16500.0,17400.0,14200.0,17700.0,21700.0,19100.0,18000.0,20600.0,21200.0,21700.0,25000.0,22600.0,19900.0,18865.0
Insertion Sort,100,2200.0,2200.0,1900.0,1800.0,1800.0,1900.0,1800.0,1900.0,1800.0,1600.0,2700.0,2600.0,2300.0,2400.0,2100.0,2100.0,2400.0,2400.0,2500.0,2400.0,2140.0
Selection Sort,100,11500.0,11500.0,11900.0,11500.0,11500.0,12000.0,12100.0,11500.0,12100.0,12000.0,15100.0,14500.0,14500.0,14400.0,14300.0,14100.0,19500.0,13800.0,13800.0,13900.0,13275.0
Merge Sort,100,10400.0,9900.0,8900.0,8800.0,8900.0,8600.0,8700.0,8800.0,9000.0,9700.0,14000.0,11700.0,10600.0,11100.0,10400.0,11200.0,11200.0,10600.0,10800.0,11700.0,10250.0
Quick Sort,100,13000.0,10100.0,10000.0,15500.0,11300.0,9500.0,10700.0,10400.0,10800.0,14100.0,16600.0,14700.0,11200.0,11300.0,11300.0,13300.0,13100.0,11000.0,11000.0,12500.0,12070.0
